iter	Logloss
0	0.6504227145
1	0.6130196713
2	0.5832619842
3	0.5577752136
4	0.5365808488
5	0.5176158139
6	0.5004792818
7	0.4872123943
8	0.4750267221
9	0.4641358241
10	0.4549735433
11	0.4466759701
12	0.4391932088
13	0.4332372465
14	0.4277098214
15	0.4227893631
16	0.418645109
17	0.4148623104
18	0.4116657254
19	0.4085706848
20	0.4060664703
21	0.4035064172
22	0.4013401004
23	0.3994558228
24	0.3977861886
25	0.3962652121
26	0.3946926891
27	0.3935153576
28	0.3923683987
29	0.3912365198
30	0.3901597986
31	0.3891822016
32	0.3883708488
33	0.3876979444
34	0.3868203236
35	0.3860954024
36	0.3857765286
37	0.3853355557
38	0.3846725995
39	0.3841687979
40	0.3837526086
41	0.3835003691
42	0.3828983316
43	0.3824975078
44	0.382000423
45	0.3816010605
46	0.381312083
47	0.3809192815
48	0.3805479323
49	0.3803228071
50	0.3800812711
51	0.3797129801
52	0.3795024671
53	0.3792538443
54	0.3791531417
55	0.3789233629
56	0.3786649263
57	0.37847192
58	0.3783204719
59	0.3782038932
60	0.3780112896
61	0.3778438634
62	0.3776844775
63	0.3775451386
64	0.3773832523
65	0.3771162212
66	0.376879831
67	0.3767386645
68	0.3766692609
69	0.3765986835
70	0.3764746499
71	0.3763979956
72	0.3762001714
73	0.3761447315
74	0.3760254363
75	0.3759265883
76	0.3758302147
77	0.3756989203
78	0.3756805724
79	0.3755346875
80	0.3754500971
81	0.375406588
82	0.3753505393
83	0.3752796252
84	0.3751927114
85	0.3750833341
86	0.3749402574
87	0.3749104819
88	0.3747107253
89	0.3745437168
90	0.3744326238
91	0.374222384
92	0.3739498049
93	0.3739202016
94	0.3738798038
95	0.373832267
96	0.3737751172
97	0.3737182961
98	0.3736823672
99	0.373655285
