iter	Passed	Remaining
0	57	5654
1	58	2866
2	59	1933
3	61	1467
4	62	1183
5	63	995
6	64	862
7	66	760
8	67	679
9	68	614
10	69	561
11	71	527
12	73	490
13	74	457
14	76	431
15	77	404
16	78	382
17	79	363
18	80	344
19	82	328
20	83	312
21	84	298
22	85	285
23	86	274
24	87	263
25	89	253
26	90	244
27	91	234
28	92	226
29	93	218
30	94	210
31	96	204
32	97	197
33	98	190
34	99	184
35	100	178
36	101	172
37	103	168
38	104	163
39	105	158
40	106	153
41	107	148
42	108	143
43	109	139
44	110	135
45	112	131
46	113	127
47	114	123
48	115	120
49	116	116
50	117	112
51	118	109
52	119	106
53	121	103
54	122	99
55	123	96
56	124	93
57	125	90
58	126	88
59	127	85
60	129	82
61	130	79
62	131	76
63	132	74
64	133	71
65	134	69
66	135	66
67	137	64
68	138	62
69	139	59
70	141	57
71	142	55
72	143	53
73	144	50
74	145	48
75	146	46
76	147	44
77	149	42
78	150	40
79	151	37
80	152	35
81	154	33
82	155	31
83	156	29
84	157	27
85	158	25
86	159	23
87	160	21
88	162	20
89	163	18
90	164	16
91	165	14
92	166	12
93	167	10
94	168	8
95	169	7
96	170	5
97	171	3
98	173	1
99	174	0
